Common Name,Scientific Name
prostrate sandmat,Chamaesyce prostrata
thymeleaf sandmat,Chamaesyce serpyllifolia
thymeleaf sandmat,Chamaesyce serpyllifolia ssp. hirtella
thymeleaf sandmat,Chamaesyce serpyllifolia ssp. serpyllifolia
Newberry's lipfern,Cheilanthes newberryi
lambsquarters,Chenopodium album
lateflowering goosefoot,Chenopodium album var. striatum
pitseed goosefoot,Chenopodium berlandieri
California goosefoot,Chenopodium californicum
largeseed goosefoot,Chenopodium macrospermum
saltloving goosefoot,Chenopodium macrospermum var. halophilum
nettleleaf goosefoot,Chenopodium murale
Quinoa,Chenopodium quinoa
Snowberry,Chiococca alba
Rhodes grass,Chloris gayana
wavyleaf soap plant,Chlorogalum pomeridianum
wavyleaf soap plant,Chlorogalum pomeridianum var. pomeridianum
Spider Plant,Chlorophytum comosum
crossflower,Chorispora tenella
fringed spineflower,Chorizanthe fimbriata
fringed spineflower,Chorizanthe fimbriata var. fimbriata
Ramona spineflower,Chorizanthe leptotheca
San Bernardino spineflower,Chorizanthe parryi
San Fernando Valley spineflower,Chorizanthe parryi var. fernandina
knotweed spineflower,Chorizanthe polygonoides
knotweed spineflower,Chorizanthe polygonoides var. polygonoides
prostrate spineflower,Chorizanthe procumbens
turkish rugging,Chorizanthe staticoides
"Palm, Areca",Chrysalidocarpus lutescens
Shasta Daisy,Chrysanthemum x superbum 'Alaska'
Cocoplum,Chrysobalanus icaco
Star Apple,Chrysophyllum cainito
Vetiver Grass,Chrysopogon zizanioides
Chickpea,Cicer arietinum
chicory,Cichorium intybus
Chicory,Cichorium intybus
western water hemlock,Cicuta douglasii
spotted water hemlock,Cicuta maculata
spotted water hemlock,Cicuta maculata var. bolanderi
spotted water hemlock,Cicuta maculata var. maculata
Quinine Tree,Cinchona pubescens
Canada thistle,Cirsium arvense
clustered thistle,Cirsium brevistylum
cobwebby thistle,Cirsium occidentale
cobwebby thistle,Cirsium occidentale var. californicum
wavyleaf thistle,Cirsium undulatum
bull thistle,Cirsium vulgare
seaside pussypaws,Cistanthe maritima
common pussypaws,Cistanthe monandra
Rock rose,Cistus albidus
Watermelon,Citrullus lantanus
Key Lime,Citrus aurantifolia
Mandarin Orange,Citrus reticulata
Orange,Citrus sinensis
Botta's clarkia,Clarkia bottae
canyon clarkia,Clarkia epilobioides
winecup clarkia,Clarkia purpurea
winecup clarkia,Clarkia purpurea ssp. quadrivulnera
diamond clarkia,Clarkia rhomboidea
